Columns: ['序号', '所属模块', '所属环节', '需求描述', '优先级', '需求状态', '推动节奏', '附件', '提出人', '需求方部门', '提出时间', '预计上线时间', '上线完成时间', '需求记录人', '跟进产品经理', '需求跟进人', '备注', '优先级1', '需求状态1', '']
Row 10: ['17', '商品上架', '商品管理', '目前发布商品无需通过第三方平台操作（开发中），自动发布商品预计年后规划，需自动判断规则（平台测价，款式利润，供应商核算价格等因子）', 'P2', '待处理', '待定', '', '黄乔霜', '时装上架组', '2026-01-09 00:00:00', '', '', '刘健军', '林廷威', '吴凡/健军', '', 'P2', '待处理', '']
Row 11: ['18', '商品开发', '款式管理', '动销后的样衣（产前样）联合审版，需要商品组确认', 'P3', '待处理', '待定，需沟通业务细节', '', '黄桂芬', '商品开发部', '2026-01-09 00:00:00', '', '', '刘健军', '林廷威', '吴凡/健军', '', 'P3', '待处理', '']
Row 12: ['19', '商品开发', '款式管理', '非商品组发起的修图任务，需要商品组审核（通过/驳回），通过后美工才能进行修图', 'P2', '待处理', '待定', '', '黄桂芬', '商品开发部', '2026-01-09 00:00:00', '', '', '刘健军', '林廷威', '吴凡/健军', '', 'P2', '待处理', '']
Row 13: ['20', '运营下单', '自动下单', '生产需求列表页：首单翻单需要区分大小单的且需要给到运营下单列表看到，用字段展示', 'P2', '待处理', '', '', '李祈伟/孙士杰', '时装运营组', '2026-01-09 00:00:00', '', '', '陈雨', '陈健伟', '陈雨/一琦', '', 'P2', '待处理', '']
Row 14: ['21', '运营下单', '自动下单', '备货计划列表页先默认呈现欠货数且支持导出数据保留支持筛选查看所有订单数的功能', 'P3', '待处理', '待定，先用龙祥推送数据', '', '李祈伟/孙士杰', '时装运营组', '2026-01-09 00:00:00', '', '', '陈雨', '陈健伟', '陈雨/一琦', '', 'P3', '待处理', '']
Row 15: ['22', '运营下单', '自动下单', '支持根据筛选进行页面中操作备货下单计划，如：订单占有数，现有库存，日销量，季节性，利润，运营策略，质量，售后率等等标签', 'P3', '待处理', '待定', '', '李祈伟/孙士杰', '时装运营组', '2026-01-09 00:00:00', '', '', '颜一琦', '陈健伟', '陈雨/一琦', '', 'P3', '待处理', '']
Row 16: ['35', '运营下单', '信息展示', '在生产需求列表增加系统任务和人工导入的标签以及筛选项', 'P2', '待处理', '自动下单的功能，区分系统下还是人下', '', '颜一琦', '运营管理部', '2026-01-28 00:00:00', '', '', '颜一琦', '陈健伟', '陈雨/一琦', '', 'P2', '待处理', '']
Row 17: ['39', '运营下单', '下单', '建议备货列表页：同一个SKC在N个店铺售卖，自动下单后数量是累加，需要展示多个店铺与对应的小单数量', 'P3', '待处理', '', '', '孙士杰', '时装运营组', '2026-01-28 00:00:00', '', '', '孙士杰', '陈健伟', '陈雨/一琦', '', 'P3', '待处理', '']
Row 18: ['45', '商品上架', '生图', '滞销款商品需要快速更换视觉图后，更新至平台商品信息中重新上架', 'P2', '待处理', '', '', '吴凡', '运营管理部', '2026-01-30 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 19: ['46', '商品开发', '开款', '款式管理中需要可以发送到“局部改款”', 'P2', '待处理', '', '', '莫耀文', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 20: ['47', '商品开发', '开款', '款式标签->映射款式级别（需获取映射关系）', 'P2', '待处理', '', '', '范思慧', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 21: ['48', '商品开发', '开款', '款式颜色自动新增（款式开发平台->PLM新增）/统一标准，品类也一样', 'P2', '待处理', '', '', '吴凡', '运营管理部', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 22: ['52', '商品上架', '审款', '店铺管理：新增上架人员配置，用于商品审核提交结果后跳转下一条时，识别属于该上架人员的商品，而不是按自然顺序跳转', 'P2', '待处理', '通过其他方式已实现', '', '黄乔霜', '时装上架组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 23: ['53', '商品上架', '审款', '店铺配置时，选择店铺后可以默认带出对应的运营人员', 'P2', '待处理', '', '', '黄乔霜', '时装上架组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 24: ['54', '商品开发', '选款', 'AIGC选款不流畅，建议可以点开大图后可以通过→快速查看上下图，大图也可以直接选中', 'P2', '待处理', '', '', '范思慧', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 25: ['55', '商品开发', '开款', '取消的款后续能继续使用吗？若需要，则增加款式资料复用功能', 'P2', '待处理', '', '', '刘健军', '运营管理部', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 26: ['56', '商品开发', '款式管理', '任务关键节点飞书消息通知，例如测价通过后通知开发组做拆板', 'P2', '待处理', '', '', '莫耀文', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 27: ['57', '商品上架', '开款', '更改商品名称后，英文标题也需要支持重新翻译', 'P2', '待处理', '', '商品审核页面字段调整方案', '黄乔霜', '时装上架组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 28: ['59', '商品开发', '审款', '审款页面显示备注信息', 'P2', '待处理', '', '', '柯梓丽', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 29: ['62', '商品开发', '开款', '建款填信息时支持复制其他信息粘贴过去（先支持模糊搜索）', 'P2', '待处理', '', '', '范思慧', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 30: ['63', '商品开发', '推送PLM', '款式管理模块：套版款式有引用同一个套版款号资料的需求（技术资料带到打版环节），一期内容不含', 'P1', '待处理', '', '', '谭康健', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P1', '待处理', '']
Row 31: ['64', '商品上架', '信息展示', '自动上架模块：有版有样的款式需要等样衣收货再加站，需要从PLM系统获取skc样衣的签收状态/打版进度，便于查看加站在售', 'P2', '待处理', 'P2优先', '', '黄乔霜', '商品上架组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 32: ['65', '商品开发', '开款', '从款式管理带过来的姿势裂变增加勾选，可以直接把选中的图带回原款号里面', 'P3', '待处理', '', '', '范思慧', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P3', '待处理', '']
Row 33: ['67', '商品开发', '开款', '需要维护店铺对应风格：开款时选择店铺后自动对应风格', 'P2', '待处理', '', '', '莫耀文', '商品开发组', '2026-02-02 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 34: ['72', '商品开发', '修图审核', '已完成的图可不可以改成一直保持编辑', 'P2', '待处理', '', '', '苏嘉艳', '商品开发组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 35: ['73', '商品开发', '修图审核', '可不可以单独直接替换要p的图片，并保留原图的历史记录', 'P2', '待处理', '', '', '苏嘉艳', '商品开发组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 36: ['74', '商品开发', '开款', '需要支持修改款式类型', 'P2', '待处理', '', '', '莫耀文', '商品开发组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 37: ['75', '商品开发', '修图审核', '款式管理的修图任务编号点进去就可以直接审核修好的图片', 'P2', '待处理', '', '', '范思慧', '商品开发组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 38: ['76', '商品开发', '修图审核', '可不可以更新成已修好的图（已完成页面需要展示修图结果，此处展示信息错误）', 'P2', '待处理', '', '', '苏嘉艳', '商品开发组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 39: ['77', '商品开发', '修图审核', '当针对款式中单张图片发起修图，审核结果更新图片后，款式信息会仅保留更新后的单张图片，而非只替换修图目标', 'P2', '待处理', '', '', '吴凡', '运营管理部', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 40: ['80', '商品上架', '发布', '商品信息填错后是否可以重新在线编辑？\n发布后都需要编辑，包括属性和图片', 'P2', '待处理', '', '', '黄乔霜', '时装上架组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 41: ['82', '商品开发', '修图审核', '修图任务备注目前只显示总备注，不显示备注1备注2备注3...', 'P2', '待处理', '', '', '吴凡', '运营管理部', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 42: ['83', '商品上架', '测价通过', '需要增加商品列表数据导出功能', 'P2', '待处理', '', '', '黄乔霜', '时装上架组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 43: ['86', '商品开发', '修图审核', '修图任务列表：备注信息需要展示备注的图片信息（需单独下载此备注图片）', 'P2', '待处理', '', '', '苏嘉艳', '商品开发组', '2026-02-03 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 44: ['87', '商品开发', '开款', '开款任务，创建款式时的字段调整：\n1）衣服上有多个颜色时，颜色识别只需要识别主色', 'P2', '待处理', '', '商品审核页面字段调整方案', '莫耀文', '商品开发组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 45: ['88', '商品上架', '发布', '待上架&商品列表页增加筛选字段：季节、运营人、运营组、设计组、上架人', 'P2', '待处理', '', '', '黄乔霜', '时装上架组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 46: ['89', '商品上架', '发布', 'AI生成商品标题功能需优化：或需增加爆款关键词作为提示词（可与上架组沟通详细逻辑)', 'P2', '待处理', '', '商品审核页面字段调整方案', '黄乔霜', '时装上架组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 47: ['90', '商品上架', '发布', '商详信息双向更新（TEMU平台&款式开发平台）', 'P2', '待处理', '', '', '孙士杰', '时装运营组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 48: ['91', '商品上架', '发布', 'PLM的bom单面料信息和打版放码后的正式尺码表需要回传到商品详情', 'P2', '待处理', '', '', '孙士杰', '时装运营组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 49: ['92', '商品上架', '发布', '不同店铺重复款校验（目前图片识别），其他店铺存在同款式时不允许发布', 'P2', '待处理', '', '', '孙士杰', '时装运营组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 50: ['93', '商品上架', '发布', '商品审核：\n1）产品信息部分字段可跟款式信息建立关联\n2）包装尺寸信息设置默认值', 'P2', '待处理', '', '商品审核页面字段调整方案', '黄乔霜', '时装上架组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 51: ['96', '商品上架', '发布', '商品审核：颜色填写时需支持模糊搜索', 'P2', '待处理', '', '商品审核页面字段调整方案', '黄乔霜', '时装上架组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 52: ['99', '商品上架', '测价通过', '测价通过的款式需要展示核价价格', 'P2', '进行中', '自动上架二期，4月初', '', '范思慧', '商品开发组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '进行中', '']
Row 53: ['100', '商品上架', '测价通过', '生成内部SKU后（商品审核&测价通过），需要推送聚水潭创建商品并设置虚拟库存', 'P1', '进行中', '自动上架二期，4月初，还没排期', '', '孙士杰', '时装运营组', '2026-02-04 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P1', '进行中', '']
Row 54: ['102', '运营下单', '自动下单', 'moken自动下单配置项：下单主体支持模糊搜索', 'P2', '待处理', '', '', '陈雨', '运营管理部', '2026-02-05 00:00:00', '', '', '刘健军', '陈健伟', '', '', 'P2', '待处理', '']
Row 55: ['103', '运营下单', '自动下单', '问题：自动下单，店铺名称不一样会不能自动下单\n每个店铺有固定且唯一id为标识（已有），TEMU更改店铺名称后无需再人工配置任务重新触发\n方案：店铺信息-从SDP同步店铺信息', 'P1', '待处理', '给庭威提需求：API同步店铺信息，系统内部统一用店铺ID\n纳入权限改造需求', '', '陈雨', '运营管理部', '2026-02-05 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P1', '待处理', '']
Row 56: ['104', '运营下单', '自动下单', '①需要将截止目前为止Y2多维表格已经下单的数据刷数到moken系统（导入后才能识别历史下单数量解决翻单小小单自动下单）\n②将Y2多维表的数据刷到现在判断首翻单的宽表中，可以先试用这份宽表判断\n全量切换到SDP开款后，再刷数\n表的字段发群里', 'P1', '待处理', '刷到宽表', '', '陈雨', '运营管理部', '2026-02-26 00:00:00', '', '', '陈雨', '陈健伟', '', '', 'P1', '待处理', '']
Row 57: ['109', '运营下单', '下单', 'moken 订单，取消的时候简单点，目前要填好几个东西、只保留终止原因、去掉费用归属和取消凭证（需要识别字段是否关联财务付款）\n3月19日：\nmoken取消单先将取消凭证改成支持可以拖拉，粘贴上传\npims确认订单也支持运营发起但是需要跟单确认，且此取消状态会回传至MOKEN（搁置）', 'P2', '待处理', '', '', '孙士杰', '时装运营组', '2026-03-04 00:00:00', '', '', '颜一琦', '陈健伟', '', '', 'P2', '待处理', '']
Row 58: ['114', '商品开发', '开款', '任务列表的任务进度状态采用不同颜色标识，方便识别异常任务：待出方案', 'P2', '待处理', '', '', '曾睿', '商品开发组', '2026-03-05 00:00:00', '', '', '吴凡', '林廷威', '', '', 'P2', '待处理', '']
Row 59: ['119', '商品上架', '上架', '新增复色款需要补充从SDP直接推送到temu后台上架的路径，由于temu未提供接口，先做以下优化：\n支持待发布的操作推送上架到【待上架】列表给 上架组审核；已发布的推送到【商品列表】给运营操作', 'P1', '进行中', '预计下周一27号', '', '黄乔霜', '时装上架组', '2026-03-06 00:00:00', '', '', '招婉君', '林廷威', '', '', 'P1', '进行中', '']
Row 60: ['122', '商品开发', '开款', '需求-局部改款直联姿势裂变，同步进行：待出方案（路径待整合）', 'P2', '待处理', '', '', '万慧玲', '商品开发组', '2026-03-06 00:00:00', '', '', '吴凡', '林廷威', '', '', 'P2', '待处理', '']
Row 61: ['125', '商品开发', '开款', '需求-批量导入款式后需要单独编辑款式店铺：待出方案', 'P2', '待处理', '', '', '范思慧', '商品开发组', '2026-03-09 00:00:00', '', '', '吴凡', '林廷威', '', '', 'P2', '待处理', '']
Row 62: ['126', '商品开发', '开款', '需求-开款时可选择姿势裂变&局部改款结果图片维护营销图：待出方案', 'P2', '待处理', '', '', '莫耀文', '商品开发组', '2026-03-09 00:00:00', '', '', '吴凡', '林廷威', '', '', 'P2', '待处理', '']
Row 63: ['137', '运营下单', '下单', '组合装SKU问题', 'P1', '进行中', '预计五一后，uat验收', '', '孙士杰', '时装运营组', '2026-03-16 00:00:00', '2026-04-30 00:00:00', '', '颜一琦', '陈健伟', '', '', 'P1', '进行中', '']
Row 64: ['138', '商品开发', '款式管理', '建款时，如果项目类型选的是无版无样，制作方式默认3D样', 'P2', '待处理', '', '', '设计师', '商品开发组', '2026-03-17 00:00:00', '', '', '谢可', '林廷威', '', '', 'P2', '待处理', '']
Row 65: ['140', '商品上架', '发布', '商品管理页面，上新总数在商品状态栏显示', 'P3', '待处理', '', '', '黄乔霜', '', '2026-03-24 00:00:00', '', '', '吴凡', '', '', '', 'P3', '待处理', '']
Row 66: ['141', '商品开发', '款式管理', '款式营销图也需要支持设计师自由裁剪（类似商品上架时那个缩放裁剪）', 'P2', '待处理', '', '', '范思慧', '', '2026-03-27 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 67: ['142', '商品开发', '开款', '开款页面：\n1）需要对创建的款式进行信息备注，以供组长审款时参考\n2）批量导入款式时，每个款式都需要有非必填的备注框\n审款页面：\n1）显示开款时备注信息', 'P2', '待处理', '', '', '巫常雨', '', '2026-03-30 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 68: ['143', '商品开发', '修图审核', '图片更新任务页面：\n1）需要展示任务款式对应店铺名称和SKC（目前只有SPU）\n2）发起图片更新任务时（直接创建&款式管理发送），增加【指定美工】选择项（关联美工权限用户），任务页面增加信息展示（任务处理人：美工）\n3）图片更新任务列表增加<上传图片人>字段，并提供筛选项\n4）发起修图任务时以SKC维度（当前以SPU发起）', 'P1', '待处理', '6', '', '金芊慧', '', '2026-03-30 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 69: ['144', '商品开发', '开款', '批量开款需要增加【面料池类型】——【极致单品】、【以料开款】、【外匹-趋势面料】字段（字段已新增），关联面料匹配任务（PLM）', 'P1', '待处理', '8', '', '范思慧', '', '2026-03-30 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 70: ['145', '商品开发', '开款', '开款任务填写的字段做映射关系（映射关系表待定）\n1）店铺->风格\n2）款式标签->款式级别\n3）开款时选择套装品类，2/3件套自动映射填写SKU分类套装件数为2/3', 'P1', '待处理', '3', '', '范思慧', '', '2026-03-30 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 71: ['146', '商品开发', '开款', '功能需求：\n1）款式管理可发送至局部改款进行任务；\n2）局部改款结果同步AIGC选款，可进行①选款开款 或者 ②覆盖原款式营销图', 'P1', '待处理', '4', '', '万慧玲', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 72: ['147', '商品开发', '开款', '交互优化：AIGC选款保存结果后返回选款前页面，不要跳转回第一页', 'P1', '待处理', '10', '', '万慧玲', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 73: ['148', '商品开发', '开款', '交互优化：款式管理页面编辑SPU信息后，不要清空之前填写的营销图和开发信息（已编辑的信息需暂存）', 'P2', '待处理', '', '', '万慧玲', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 74: ['150', '商品开发', '开款', '功能需求：AIGC选款标记页面，点开大图时需要可直接标记，不需要返回页面再找到图片进行标记', 'P2', '待处理', '', '', '万慧玲', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 75: ['151', '商品上架', '信息展示', '功能需求：\n款式制作方式（项目类型）和在PLM的建bom和拆版完成状态要回显给商品列表，并提供筛选项，以判断前置拆版款是否可加站在售', 'P1', '进行中', '4月26日前上线，筛选项五一前上线', '', '万慧玲', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P1', '进行中', '']
Row 76: ['152', '商品开发', '通知中心', '功能需求：通知中心增加PLM推送失败，推送上架失败，发布失败、测价通过的通知', 'P1', '待处理', '1', '', '万慧玲', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 77: ['153', '商品开发', '开款', '交互优化：批量创建款式时，如果有某个款式缺少必填信息，自动滑动至该款式位置，避免自行查找', 'P1', '待处理', '', '', '万慧玲', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 78: ['154', '商品开发', '开款', '交互优化：批量创建款式后，清除初始生成的空白款式，否则需要手动删除后才可提交', 'P2', '待处理', '', '', '植嘉丽', '', '2026-03-31 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 79: ['156', '商品开发', '开款', '项目类型需要改为必填下游版房按照标签作业：当前仅在款式管理向下流转时校验，建议在开款页面必填（可批量填写）', 'P1', '待处理', '已加上校验', '', '颜一琦', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 80: ['158', '商品开发', '开款', '在SDP修改生产渠道时，若选定为OEM，必填字段“是否需要里布”，本字段在PLM内带出', 'P3', '待处理', '', '', '李嘉雯', '运营管理部', '2026-03-31 00:00:00', '', '', '李嘉雯', '陈建伟', '', '', '', '', '']
Row 81: ['159', '商品开发', '修图审核', '批量上传图片时多图片的任务的备注显示有点问题，单张图片的任务可以显示', 'P1', '待处理', '', '', '金芊慧', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 82: ['160', '商品开发', '开款', '款式查重的功能：在款式批量导入和创建任务界面也需要部署（是否会拖慢导入速度？）', 'P1', '待处理', '5', '', '张晓慧', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 83: ['161', '商品开发', '开款', '局部改款：中自由选择图片元素组合，并可批量创建任务：可以参考图1背景，图2模特综合到一张图，或者多张图统一换背景', 'P2', '待处理', '', '', '王艺宁', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 84: ['162', '商品开发', '开款', '现货管理：SPU有图SKC页面可以直接带图过来（避免重复操作）', 'P1', '待处理', '2', '', '王艺宁', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 85: ['163', '商品开发', '开款', '交互优化：开款导入页面图片粘贴拖入方式', 'P2', '待处理', '', '', '王艺宁', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 86: ['164', '商品开发', '信息展示', '信息展示：\n1）款式管理目前不能预览所有图片，只能点进编辑查看图片查看细节，需要增加所有营销图预览展示\n2）款式管理缩略图右上角可标记当前营销图数量，方便快速检查营销图数量是否满足上架条件\n3）SPU处增加第一个SKC的第一张图，用于复色款识别', 'P1', '待处理', '7', '', '张晓慧', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 87: ['165', '商品开发', '开款', '款式成分填写（非必填）：用于商品上架价格预估计算', 'P2', '待处理', '', '', '张晓慧', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 88: ['166', '商品开发', '开款', 'AIGC选款页面：可选图片需要加上原上传图', 'P2', '待处理', '', '', '王艺宁', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 89: ['167', '商品开发', '开款', '姿势裂变：AIGC重新生成图片时，需要可重新编辑提示词（可延展至其他功能？）', 'P2', '待处理', '', '', '王艺宁', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 90: ['168', '商品开发', '修图审核', '图片更新任务需要返修时，批量处理时需要增加展示返修原因', 'P2', '待处理', '', '', '金芊慧', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 91: ['169', '商品开发', '信息展示', '款式编码相关的筛选栏：需要加上清空内容快捷键', 'P1', '待处理', '', '', '万慧玲', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 92: ['170', '商品上架', '发布', '现货款根据商品链接,提取到:价格,重量,成分,尺码,尺寸（如能实现，现货开款成分等相关必填项可取消必填）', 'P3', '待处理', '', '', '黄乔霜', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P3', '待处理', '']
Row 93: ['171', '商品上架', '发布', '批量导出增加:\n1）复制平台SPU+平台SKC\n2）复制SPU+平台SPU+平台SKC\n3）复制SPU+平台SPU+平台SKC+平台价格\n4）复制SPU+平台SPU+平台SKC+平台价格+内部FOB价', 'P2', '待处理', '', '', '黄乔霜', '', '2026-04-01 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 94: ['172', '商品上架', '发布', '增加商品审核任务领取机制：\n增加“领取”操作&“审核中”状态 or 进入审核时自动校验是否有用户正在操作中？', 'P2', '待处理', '', '', '黄乔霜', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 95: ['173', '商品开发', '开款', '局部改款：生成失败的任务可批量选择重新生成任务', 'P2', '待处理', '', '', '植嘉丽', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 96: ['175', '商品开发', '开款', '必填的开发信息前置到开款页面填写（可批量填写）', 'P2', '待处理', '', '', '白浩辉', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 97: ['176', '商品开发', '信息展示', '店铺列表分组展示：\n运营配置店铺时选择设计组，该项目组只能在开款时店铺选项看到属于自己组别的店铺', 'P2', '待处理', 'P2优先', '', '范思慧', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 98: ['177', '商品开发', '修图审核', '图片更新任务上传时，需要支持自由修改图片顺序，避免后续还需调整主图选择', 'P2', '待处理', '', '', '苏嘉艳', '', '2026-04-02 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
